,term,score,pval
0,absolute monster,2.3125000000000004,0.12833749054331364
1,absolute system,2.3125000000000004,0.12833749054331364
2,absolute system absolute,2.3125000000000004,0.12833749054331364
3,add different,0.43243243243243246,0.5107977981738965
4,add different prescriptions,0.43243243243243246,0.5107977981738965
5,aggressive relatives,0.43243243243243246,0.5107977981738965
6,alert day,0.43243243243243246,0.5107977981738965
7,amazing difference,0.43243243243243246,0.5107977981738965
8,amazing difference better,0.43243243243243246,0.5107977981738965
9,amazing feeling,0.43243243243243246,0.5107977981738965
10,amazing form,0.43243243243243246,0.5107977981738965
11,amazing results,1.2972972972972976,0.2547074940910403
12,amazing results best,0.43243243243243246,0.5107977981738965
13,antidepressant good,0.43243243243243246,0.5107977981738965
14,antidepressant good luck,0.43243243243243246,0.5107977981738965
15,anything happy,0.43243243243243246,0.5107977981738965
16,anything happy pain,0.43243243243243246,0.5107977981738965
17,anything willing,0.43243243243243246,0.5107977981738965
18,anything willing help,0.43243243243243246,0.5107977981738965
19,apparent reason,2.3125000000000004,0.12833749054331364
20,apparent reason major,2.3125000000000004,0.12833749054331364
21,aware gambling,0.43243243243243246,0.5107977981738965
22,aware gambling willing,0.43243243243243246,0.5107977981738965
23,beautiful day,0.43243243243243246,0.5107977981738965
24,best bet,0.43243243243243246,0.5107977981738965
25,best bet wise,0.43243243243243246,0.5107977981738965
26,best body,0.43243243243243246,0.5107977981738965
27,best combo,0.43243243243243246,0.5107977981738965
28,best combo promising,0.43243243243243246,0.5107977981738965
29,best control,0.43243243243243246,0.5107977981738965
30,best control different,0.43243243243243246,0.5107977981738965
31,best decription,0.43243243243243246,0.5107977981738965
32,best evils,0.43243243243243246,0.5107977981738965
33,best evils nice,0.43243243243243246,0.5107977981738965
34,best friend,0.43243243243243246,0.5107977981738965
35,best interests,0.43243243243243246,0.5107977981738965
36,best interests positive,0.43243243243243246,0.5107977981738965
37,best luck,0.43243243243243246,0.5107977981738965
38,best medicines,0.43243243243243246,0.5107977981738965
39,best option,2.3125000000000004,0.12833749054331364
40,best option lucky,2.3125000000000004,0.12833749054331364
41,best prep,0.8648648648648649,0.3523808651090832
42,best prep good,0.43243243243243246,0.5107977981738965
43,best testosterone,0.43243243243243246,0.5107977981738965
44,best thing,0.43243243243243246,0.5107977981738965
45,best years,0.43243243243243246,0.5107977981738965
46,best years good,0.43243243243243246,0.5107977981738965
47,bet wise,0.43243243243243246,0.5107977981738965
48,bet wise complaints,0.43243243243243246,0.5107977981738965
49,better anything,0.43243243243243246,0.5107977981738965
50,better anything happy,0.43243243243243246,0.5107977981738965
51,better body,0.43243243243243246,0.5107977981738965
52,better child,0.43243243243243246,0.5107977981738965
53,better choices,0.43243243243243246,0.5107977981738965
54,better focus,0.43243243243243246,0.5107977981738965
55,better life,0.43243243243243246,0.5107977981738965
56,better month,0.43243243243243246,0.5107977981738965
57,better month better,0.43243243243243246,0.5107977981738965
58,better mood,0.43243243243243246,0.5107977981738965
59,better mood happier,0.43243243243243246,0.5107977981738965
60,better mornings,0.43243243243243246,0.5107977981738965
61,better part,0.43243243243243246,0.5107977981738965
62,better relationship,2.3125000000000004,0.12833749054331364
63,better ring,2.3125000000000004,0.12833749054331364
64,better soreness,0.43243243243243246,0.5107977981738965
65,better treatments,0.43243243243243246,0.5107977981738965
66,blemishes clean,0.43243243243243246,0.5107977981738965
67,blemishes clean something,0.43243243243243246,0.5107977981738965
68,bodies different,0.43243243243243246,0.5107977981738965
69,bodies different reactions,0.43243243243243246,0.5107977981738965
70,can 039,0.43243243243243246,0.5107977981738965
71,cautious use,0.43243243243243246,0.5107977981738965
72,clean something,0.43243243243243246,0.5107977981738965
73,clean something strong,0.43243243243243246,0.5107977981738965
74,clear color,0.43243243243243246,0.5107977981738965
75,clear color good,0.43243243243243246,0.5107977981738965
76,clear cream,0.43243243243243246,0.5107977981738965
77,clear day,0.8648648648648649,0.3523808651090832
78,clear day potty,0.43243243243243246,0.5107977981738965
79,clear day solid,0.43243243243243246,0.5107977981738965
